rqie ,millisec_mid,trade_size,trade_price
20070620,34334000,38800,39.31000137
20070620,34335000,100,39.31000137
20070620,34335000,100,39.31000137
20070620,34335000,100,39.31000137
20070620,34336000,100,39.31000137
20070620,34336000,100,39.31000137
20070620,34337000,100,39.31000137
20070620,34341000,100,39.27000046
20070620,34341000,100,39.27000046
20070620,34343000,200,39.20999908
20070620,34344000,100,39.29000092
20070620,34344000,300,39.20000076
20070620,34344000,100,39.13000107
20070620,34344000,100,39.29999924
20070620,34346000,300,39.20999908
20070620,34346000,100,39.20999908
20070620,34347000,100,39.20999908
20070620,34355000,100,39.24000168
20070620,34372000,200,39.24000168
20070620,34373000,200,39.24000168
20070620,34381000,100,39.22999954
20070620,34393000,100,39.29000092
20070620,34393000,300,39.27999878
20070620,34393000,300,39.27999878
20070620,34393000,200,39.27999878
20070620,34393000,1100,39.27999878
20070620,34408000,100,39.27999878
20070620,34408000,200,39.27999878
20070620,34412000,200,39.27999878
20070620,34415000,100,39.27999878
20070620,34421000,100,39.31000137
20070620,34470000,100,39.31000137
20070620,34471000,300,39.29999924
20070620,34476000,200,39.29999924
20070620,34480000,100,39.29999924
20070620,34483000,100,39.31000137
20070620,34491000,300,39.31000137
20070620,34503000,200,39.29999924
20070620,34530000,100,39.24000168
20070620,34530000,600,39.24000168
20070620,34530000,100,39.25
20070620,34532000,100,39.25
20070620,34533000,100,39.25
20070620,34533000,100,39.25
20070620,34536000,100,39.25
20070620,34547000,100,39.29000092
20070620,34547000,100,39.27999878
20070620,34547000,800,39.29000092
20070620,34567000,100,39.29000092
20070620,34577000,100,39.29000092
20070620,34577000,400,39.29000092
20070620,34600000,100,39.27999878
20070620,34601000,100,39.29000092
20070620,34601000,100,39.29000092
20070620,34607000,300,39.29000092
20070620,34607000,100,39.33000183
20070620,34607000,300,39.31000137
20070620,34612000,100,39.31999969
20070620,34627000,100,39.33000183
20070620,34639000,100,39.31999969
20070620,34651000,100,39.31999969
20070620,34652000,400,39.31999969
20070620,34683000,100,39.31999969
20070620,34684000,400,39.31999969
20070620,34704000,100,39.31000137
20070620,34752000,100,39.33000183
20070620,34768000,300,39.31000137
20070620,34769000,100,39.33000183
20070620,34769000,300,39.33000183
20070620,34773000,200,39.31999969
20070620,34774000,1200,39.31000137
20070620,34790000,100,39.31999969
20070620,34807000,100,39.31999969
20070620,34845000,200,39.33000183
20070620,34845000,200,39.33000183
20070620,34845000,200,39.33000183
20070620,34853000,2600,39.33000183
20070620,34854000,200,39.34000015
20070620,34855000,300,39.31999969
20070620,34858000,100,39.33000183
20070620,34884000,100,39.34000015
20070620,34884000,100,39.34000015
20070620,34884000,1300,39.34000015
20070620,34889000,200,39.36000061
20070620,34890000,100,39.38000107
20070620,34892000,400,39.38999939
20070620,34893000,400,39.38999939
20070620,34893000,100,39.38999939
20070620,34893000,200,39.38999939
20070620,34895000,100,39.38999939
20070620,34895000,500,39.40000153
20070620,34899000,300,39.40000153
20070620,34902000,100,39.38999939
20070620,34903000,100,39.38999939
20070620,34926000,300,39.38000107
20070620,34928000,100,39.38999939
20070620,34950000,200,39.40000153
20070620,34957000,100,39.36000061
20070620,34958000,100,39.38999939
20070620,34965000,300,39.36999893
20070620,34978000,600,39.38000107
20070620,34979000,300,39.38000107
20070620,34982000,400,39.38000107
20070620,34984000,100,39.36999893
20070620,34984000,100,39.36000061
20070620,34985000,300,39.36999893
20070620,34985000,100,39.36999893
20070620,34989000,200,39.36000061
20070620,35003000,100,39.31999969
20070620,35006000,100,39.31999969
20070620,35006000,100,39.33000183
20070620,35007000,100,39.33000183
20070620,35007000,100,39.34000015
20070620,35009000,100,39.31999969
20070620,35010000,100,39.34000015
20070620,35011000,400,39.31999969
20070620,35011000,100,39.33000183
20070620,35012000,200,39.33000183
20070620,35012000,100,39.33000183
20070620,35017000,200,39.31999969
20070620,35019000,100,39.31999969
20070620,35023000,300,39.31000137
20070620,35026000,400,39.31999969
20070620,35027000,200,39.31999969
20070620,35027000,100,39.31000137
20070620,35036000,100,39.31999969
20070620,35036000,100,39.31999969
20070620,35036000,100,39.31999969
20070620,35036000,100,39.31999969
20070620,35036000,1200,39.31999969
20070620,35036000,100,39.31999969
20070620,35047000,100,39.31999969
20070620,35047000,100,39.31999969
20070620,35088000,100,39.33000183
20070620,35091000,200,39.34000015
20070620,35107000,100,39.33000183
20070620,35111000,100,39.33000183
20070620,35116000,200,39.34000015
20070620,35119000,100,39.33000183
20070620,35120000,100,39.31999969
20070620,35121000,100,39.33000183
20070620,35121000,100,39.33000183
20070620,35123000,200,39.33000183
20070620,35126000,100,39.33000183
20070620,35130000,200,39.33000183
20070620,35136000,100,39.31999969
20070620,35140000,100,39.31999969
20070620,35141000,100,39.31000137
20070620,35141000,100,39.31000137
20070620,35196000,100,39.34000015
20070620,35205000,300,39.31000137
20070620,35206000,400,39.31000137
20070620,35209000,100,39.34000015
20070620,35213000,100,39.31999969
20070620,35221000,100,39.31000137
20070620,35226000,100,39.29999924
20070620,35236000,100,39.31000137
20070620,35238000,300,39.31000137
20070620,35243000,100,39.31000137
20070620,35244000,100,39.31999969
20070620,35247000,100,39.31999969
20070620,35253000,300,39.31000137
20070620,35253000,100,39.31999969
20070620,35263000,100,39.29999924
20070620,35263000,300,39.29999924
20070620,35263000,100,39.29999924
20070620,35263000,100,39.29999924
20070620,35277000,100,39.29999924
20070620,35282000,400,39.29999924
20070620,35283000,100,39.29999924
20070620,35283000,600,39.29999924
20070620,35283000,100,39.29000092
20070620,35283000,100,39.27999878
